category,item,variety,date,price,unit,year,month,day
vegetable,parsnips,all_varieties,2021-12-17,1.13,kg,2021,12,17
vegetable,tomatoes,vine,2021-12-17,1.26,kg,2021,12,17
fruit,apples,bramleys_seedling,2021-12-10,1.58,kg,2021,12,10
fruit,apples,coxs_orange_group,2021-12-10,1.03,kg,2021,12,10
fruit,apples,egremont_russet,2021-12-10,1.1,kg,2021,12,10
fruit,apples,braeburn,2021-12-10,0.86,kg,2021,12,10
fruit,apples,gala,2021-12-10,0.9,kg,2021,12,10
fruit,apples,other_late_season,2021-12-10,1.03,kg,2021,12,10
fruit,pears,conference,2021-12-10,0.93,kg,2021,12,10
fruit,pears,doyenne_du_comice,2021-12-10,0.92,kg,2021,12,10
fruit,pears,other,2021-12-10,0.87,kg,2021,12,10
vegetable,beetroot,beetroot,2021-12-10,0.55,kg,2021,12,10
vegetable,brussels_sprouts,brussels_sprouts,2021-12-10,0.92,kg,2021,12,10
vegetable,pak_choi,pak_choi,2021-12-10,3.03,kg,2021,12,10
vegetable,curly_kale,curly_kale,2021-12-10,3.66,kg,2021,12,10
vegetable,cabbage,red,2021-12-10,0.57,kg,2021,12,10
vegetable,cabbage,savoy,2021-12-10,0.56,head,2021,12,10
vegetable,spring_greens,prepacked,2021-12-10,0.88,kg,2021,12,10
vegetable,cabbage,summer_autumn_pointed,2021-12-10,0.62,kg,2021,12,10
vegetable,cabbage,white,2021-12-10,0.47,kg,2021,12,10
vegetable,cabbage,round_green_other,2021-12-10,0.51,head,2021,12,10
vegetable,carrots,topped_washed,2021-12-10,0.46,kg,2021,12,10
vegetable,cauliflower,all,2021-12-10,1.69,head,2021,12,10
vegetable,celery,all_washed,2021-12-10,0.78,kg,2021,12,10
vegetable,celeriac,celeriac,2021-12-10,0.75,kg,2021,12,10
vegetable,chinese_leaf,chinese_leaf,2021-12-10,1.02,kg,2021,12,10
vegetable,leeks,trimmed,2021-12-10,1.23,kg,2021,12,10
vegetable,lettuce,butterhead_indoor,2021-12-10,0.44,head,2021,12,10
vegetable,lettuce,little_gem,2021-12-10,0.77,twin,2021,12,10
vegetable,onion,bulb_brown,2021-12-10,0.4,kg,2021,12,10
vegetable,onion,bulb_red,2021-12-10,0.58,kg,2021,12,10
vegetable,swede,swede,2021-12-10,0.23,kg,2021,12,10
vegetable,turnip,turnip,2021-12-10,1.46,kg,2021,12,10
vegetable,parsnips,all_varieties,2021-12-10,1.13,kg,2021,12,10
vegetable,tomatoes,vine,2021-12-10,1.23,kg,2021,12,10
fruit,apples,bramleys_seedling,2021-12-03,1.54,kg,2021,12,3
fruit,apples,coxs_orange_group,2021-12-03,1.03,kg,2021,12,3
fruit,apples,egremont_russet,2021-12-03,1.17,kg,2021,12,3
fruit,apples,braeburn,2021-12-03,0.88,kg,2021,12,3
fruit,apples,gala,2021-12-03,0.96,kg,2021,12,3
fruit,apples,other_late_season,2021-12-03,0.84,kg,2021,12,3
fruit,pears,conference,2021-12-03,0.85,kg,2021,12,3
fruit,pears,doyenne_du_comice,2021-12-03,0.95,kg,2021,12,3
fruit,pears,other,2021-12-03,0.78,kg,2021,12,3
vegetable,beetroot,beetroot,2021-12-03,0.56,kg,2021,12,3
vegetable,brussels_sprouts,brussels_sprouts,2021-12-03,0.95,kg,2021,12,3
vegetable,pak_choi,pak_choi,2021-12-03,2.87,kg,2021,12,3
vegetable,curly_kale,curly_kale,2021-12-03,3.47,kg,2021,12,3
vegetable,cabbage,red,2021-12-03,0.56,kg,2021,12,3
vegetable,cabbage,savoy,2021-12-03,0.56,head,2021,12,3
vegetable,spring_greens,prepacked,2021-12-03,0.87,kg,2021,12,3
vegetable,cabbage,summer_autumn_pointed,2021-12-03,0.64,kg,2021,12,3
vegetable,cabbage,white,2021-12-03,0.47,kg,2021,12,3
